open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date
190.93,196.91,190,194.19,45954521,196.91,190,194.19,190.93,45954521,FB,XNAS,2020-04-29T00:00:00+0000
188.66,189.2,182.56,182.91,21730986,189.2,182.56,182.91,188.66,21730986,FB,XNAS,2020-04-28T00:00:00+0000
192.99,193.75,187.41,187.5,29197750,193.75,187.41,187.5,192.99,29197750,FB,XNAS,2020-04-27T00:00:00+0000
183.23,190.41,180.825,190.07,28868528,190.41,180.825,190.07,183.23,28868528,FB,XNAS,2020-04-24T00:00:00+0000
184.08,187.05,183.15,185.13,21426604,187.05,183.15,185.13,184.08,21426604,FB,XNAS,2020-04-23T00:00:00+0000
178.45,184.78,178.14,182.28,33369931,184.78,178.14,182.28,178.45,33369931,FB,XNAS,2020-04-22T00:00:00+0000
175.25,175.38,168.3408,170.8,24850528,175.38,168.3408,170.8,175.25,24850528,FB,XNAS,2020-04-21T00:00:00+0000
177.41,180.5,176.77,178.24,16110664,180.5,176.77,178.24,177.41,16110664,FB,XNAS,2020-04-20T00:00:00+0000
179.2,180.28,176.66,179.24,20974750,180.28,176.66,179.24,179.2,20974750,FB,XNAS,2020-04-17T00:00:00+0000
177.95,178.05,172.51,176.25,23593229,178.05,172.51,176.25,177.95,23593229,FB,XNAS,2020-04-16T00:00:00+0000
175.1865,178.19,172.82,176.97,17423003,178.19,172.82,176.97,175.1865,17423003,FB,XNAS,2020-04-15T00:00:00+0000
178.9765,181.225,176.62,178.17,21011815,181.225,176.62,178.17,178.9765,21011815,FB,XNAS,2020-04-14T00:00:00+0000
173.67,175,169.45,174.79,19355355,175,169.45,174.79,173.67,19355355,FB,XNAS,2020-04-13T00:00:00+0000
175.9,177.08,171.57,175.19,23534287,177.08,171.57,175.19,175.9,23534287,FB,XNAS,2020-04-09T00:00:00+0000
171.25,175,167.74,174.28,21664198,175,167.74,174.28,171.25,21664198,FB,XNAS,2020-04-08T00:00:00+0000
171.79,173.39,166.01,168.83,31411919,173.39,166.01,168.83,171.79,31411919,FB,XNAS,2020-04-07T00:00:00+0000
160.15,166.2,158.51,165.55,28453581,166.2,158.51,165.55,160.15,28453581,FB,XNAS,2020-04-06T00:00:00+0000
157.15,157.91,150.83,154.18,25983317,157.91,150.83,154.18,157.15,25983317,FB,XNAS,2020-04-03T00:00:00+0000
159.1,161.3509,155.92,158.19,20886309,161.3509,155.92,158.19,159.1,20886309,FB,XNAS,2020-04-02T00:00:00+0000
161.615,164.15,158.035,159.6,19507559,164.15,158.035,159.6,161.615,19507559,FB,XNAS,2020-04-01T00:00:00+0000
165.48,170.93,164.2,166.8,23676283,170.93,164.2,166.8,165.48,23676283,FB,XNAS,2020-03-31T00:00:00+0000
159.18,166.75,158.06,165.95,22515225,166.75,158.06,165.95,159.18,22515225,FB,XNAS,2020-03-30T00:00:00+0000
158.2,160.09,154.75,156.79,24879869,160.09,154.75,156.79,158.2,24879869,FB,XNAS,2020-03-27T00:00:00+0000
158.25,164,157.0201,163.34,26579021,164,157.0201,163.34,158.25,26579021,FB,XNAS,2020-03-26T00:00:00+0000
158.92,162.99,153.06,156.21,35184271,162.99,153.06,156.21,158.92,35184271,FB,XNAS,2020-03-25T00:00:00+0000
155.205,161.31,152.57,160.98,30440369,161.31,152.57,160.98,155.205,30440369,FB,XNAS,2020-03-24T00:00:00+0000
149.66,152.31,142.25,148.1,29830765,152.31,142.25,148.1,149.66,29830765,FB,XNAS,2020-03-23T00:00:00+0000
156.02,159.27,148,149.73,32568398,159.27,148,149.73,156.02,32568398,FB,XNAS,2020-03-20T00:00:00+0000
146.62,159.9294,144.8,153.13,39862312,159.9294,144.8,153.13,146.62,39862312,FB,XNAS,2020-03-19T00:00:00+0000
139.75,148.18,137.1006,146.96,37553136,148.18,137.1006,146.96,139.75,37553136,FB,XNAS,2020-03-18T00:00:00+0000
150.74,153.94,140,149.42,34255596,153.94,140,149.42,150.74,34255596,FB,XNAS,2020-03-17T00:00:00+0000
152.32,159.13,143.1,146.01,39120419,159.13,143.1,146.01,152.32,39120419,FB,XNAS,2020-03-16T00:00:00+0000
163.53,170.79,157.6,170.28,35028627,170.79,157.6,170.28,163.53,35028627,FB,XNAS,2020-03-13T00:00:00+0000
159.54,166.6,154.34,154.47,43266335,166.6,154.34,154.47,159.54,43266335,FB,XNAS,2020-03-12T00:00:00+0000
174.01,175.88,167.66,170.24,20397204,175.88,167.66,170.24,174.01,20397204,FB,XNAS,2020-03-11T00:00:00+0000
174.67,178.29,169.5,178.19,24517791,178.29,169.5,178.19,174.67,24517791,FB,XNAS,2020-03-10T00:00:00+0000
169.6,175,165.19,169.5,29949041,175,165.19,169.5,169.6,29949041,FB,XNAS,2020-03-09T00:00:00+0000
178.33,183.78,176.26,181.09,24559550,183.78,176.26,181.09,178.33,24559550,FB,XNAS,2020-03-06T00:00:00+0000
186.78,188.99,183.8901,185.17,19333425,188.99,183.8901,185.17,186.78,19333425,FB,XNAS,2020-03-05T00:00:00+0000
189.17,191.83,186.39,191.76,23062473,191.83,186.39,191.76,189.17,23062473,FB,XNAS,2020-03-04T00:00:00+0000
196.22,197.24,183.97,185.89,27984104,197.24,183.97,185.89,196.22,27984104,FB,XNAS,2020-03-03T00:00:00+0000
194.03,196.57,188.85,196.44,24948955,196.57,188.85,196.44,194.03,24948955,FB,XNAS,2020-03-02T00:00:00+0000
182.695,192.74,181.82,192.47,32583494,192.74,181.82,192.47,182.695,32583494,FB,XNAS,2020-02-28T00:00:00+0000
191.82,195.88,189.5,189.75,21682626,195.88,189.5,189.75,191.82,21682626,FB,XNAS,2020-02-27T00:00:00+0000
197.19,201.21,195.49,197.2,16555210,201.21,195.49,197.2,197.19,16555210,FB,XNAS,2020-02-26T00:00:00+0000
202.27,203.5,195.9537,196.77,21433487,203.5,195.9537,196.77,202.27,21433487,FB,XNAS,2020-02-25T00:00:00+0000
201.8,203.65,198.17,200.72,23080057,203.65,198.17,200.72,201.8,23080057,FB,XNAS,2020-02-24T00:00:00+0000
213.48,214.237,208.8305,210.18,14098432,214.237,208.8305,210.18,213.48,14098432,FB,XNAS,2020-02-21T00:00:00+0000
216.52,218.765,212.945,214.58,13109213,218.765,212.945,214.58,216.52,13109213,FB,XNAS,2020-02-20T00:00:00+0000
217.99,218.32,216.11,217.49,12135114,218.32,216.11,217.49,217.99,12135114,FB,XNAS,2020-02-19T00:00:00+0000
213.55,217.975,213.4,217.8,15630026,217.975,213.4,217.8,213.55,15630026,FB,XNAS,2020-02-18T00:00:00+0000
214,214.93,212.65,214.18,10741747,214.93,212.65,214.18,214,10741747,FB,XNAS,2020-02-14T00:00:00+0000
209.5235,214.3259,209.18,213.14,15396625,214.3259,209.18,213.14,209.5235,15396625,FB,XNAS,2020-02-13T00:00:00+0000
207.85,211.22,207.4,210.76,13813704,211.22,207.4,210.76,207.85,13813704,FB,XNAS,2020-02-12T00:00:00+0000
210.19,210.86,206.5102,207.19,25030810,210.86,206.5102,207.19,210.19,25030810,FB,XNAS,2020-02-11T00:00:00+0000
211.52,213.8,210.66,213.06,11856350,213.8,210.66,213.06,211.52,11856350,FB,XNAS,2020-02-10T00:00:00+0000
210.3,212.82,209.93,212.33,12242530,212.82,209.93,212.33,210.3,12242530,FB,XNAS,2020-02-07T00:00:00+0000
210.47,211.19,209.338,210.85,10567533,211.19,209.338,210.85,210.47,10567533,FB,XNAS,2020-02-06T00:00:00+0000
212.51,212.73,208.71,210.11,12538154,212.73,208.71,210.11,212.51,12538154,FB,XNAS,2020-02-05T00:00:00+0000
206.6165,210.6,205.2025,209.83,19628890,210.6,205.2025,209.83,206.6165,19628890,FB,XNAS,2020-02-04T00:00:00+0000
203.44,205.14,202.5,204.19,15510509,205.14,202.5,204.19,203.44,15510509,FB,XNAS,2020-02-03T00:00:00+0000
208.43,208.69,201.06,201.91,31359917,208.69,201.06,201.91,208.43,31359917,FB,XNAS,2020-01-31T00:00:00+0000
206.53,211.43,204.75,209.53,48775500,211.43,204.75,209.53,206.53,48775500,FB,XNAS,2020-01-30T00:00:00+0000
221.44,224.2,218.45,223.23,33610005,224.2,218.45,223.23,221.44,33610005,FB,XNAS,2020-01-29T00:00:00+0000
216.14,218.74,213.52,217.79,13413835,218.74,213.52,217.79,216.14,13413835,FB,XNAS,2020-01-28T00:00:00+0000
213.1,216.06,212.5,214.87,13810655,216.06,212.5,214.87,213.1,13810655,FB,XNAS,2020-01-27T00:00:00+0000
220.8,221.78,216.11,217.94,11905824,221.78,216.11,217.94,220.8,11905824,FB,XNAS,2020-01-24T00:00:00+0000
220.75,221.485,219.27,219.76,11195000,221.485,219.27,219.76,220.75,11195000,FB,XNAS,2020-01-23T00:00:00+0000
222.31,222.75,221.28,221.32,12212814,222.75,221.28,221.32,222.31,12212814,FB,XNAS,2020-01-22T00:00:00+0000
222.155,222.37,219.12,221.44,14162007,222.37,219.12,221.44,222.155,14162007,FB,XNAS,2020-01-21T00:00:00+0000
222.03,222.29,220.53,222.14,15905944,222.29,220.53,222.14,222.03,15905944,FB,XNAS,2020-01-17T00:00:00+0000
222.57,222.63,220.39,221.77,10015288,222.63,220.39,221.77,222.57,10015288,FB,XNAS,2020-01-16T00:00:00+0000
220.61,221.68,220.14,221.15,10036475,221.68,220.14,221.15,220.61,10036475,FB,XNAS,2020-01-15T00:00:00+0000
221.61,222.38,218.63,219.06,13315361,222.38,218.63,219.06,221.61,13315361,FB,XNAS,2020-01-14T00:00:00+0000
219.5965,221.97,219.21,221.91,14295658,221.97,219.21,221.91,219.5965,14295658,FB,XNAS,2020-01-13T00:00:00+0000
219.2,219.88,217.42,218.06,12127432,219.88,217.42,218.06,219.2,12127432,FB,XNAS,2020-01-10T00:00:00+0000
217.54,218.38,216.278,218.3,12679579,218.38,216.278,218.3,217.54,12679579,FB,XNAS,2020-01-09T00:00:00+0000
213,216.24,212.6121,215.22,13492703,216.24,212.6121,215.22,213,13492703,FB,XNAS,2020-01-08T00:00:00+0000
212.82,214.58,211.75,213.06,15111857,214.58,211.75,213.06,212.82,15111857,FB,XNAS,2020-01-07T00:00:00+0000
206.92,212.78,206.52,212.6,17073861,212.78,206.52,212.6,206.92,17073861,FB,XNAS,2020-01-06T00:00:00+0000
207.2135,210.4,206.95,208.67,11197416,210.4,206.95,208.67,207.2135,11197416,FB,XNAS,2020-01-03T00:00:00+0000
206.75,209.79,206.27,209.78,12090707,209.79,206.27,209.78,206.75,12090707,FB,XNAS,2020-01-02T00:00:00+0000
203.995,205.56,203.6001,205.25,8962756,205.56,203.6001,205.25,203.995,8962756,FB,XNAS,2019-12-31T00:00:00+0000
207.86,207.9,203.9001,204.41,10534441,207.9,203.9001,204.41,207.86,10534441,FB,XNAS,2019-12-30T00:00:00+0000
208.6697,208.93,206.5875,208.1,10287634,208.93,206.5875,208.1,208.6697,10287634,FB,XNAS,2019-12-27T00:00:00+0000
205.5665,207.82,205.31,207.79,9368273,207.82,205.31,207.79,205.5665,9368273,FB,XNAS,2019-12-26T00:00:00+0000
206.3,206.79,205,205.12,6046273,206.79,205,205.12,206.3,6046273,FB,XNAS,2019-12-24T00:00:00+0000
206.7,208.59,205.68,206.18,13353194,208.59,205.68,206.18,206.7,13353194,FB,XNAS,2019-12-23T00:00:00+0000
207.48,207.71,203.43,206.3,27315226,207.71,203.43,206.3,207.48,27315226,FB,XNAS,2019-12-20T00:00:00+0000
202.78,206.3,202.51,206.06,16808184,206.3,202.51,206.06,202.78,16808184,FB,XNAS,2019-12-19T00:00:00+0000
200.09,204.3,200.09,202.5,23284746,204.3,200.09,202.5,200.09,23284746,FB,XNAS,2019-12-18T00:00:00+0000
198.84,199,196.13,198.39,10177605,199,196.13,198.39,198.84,10177605,FB,XNAS,2019-12-17T00:00:00+0000
195.27,199.12,194.81,197.92,14922733,199.12,194.81,197.92,195.27,14922733,FB,XNAS,2019-12-16T00:00:00+0000
196.4,196.8,193.17,194.11,18806020,196.8,193.17,194.11,196.4,18806020,FB,XNAS,2019-12-13T00:00:00+0000
202.35,203.66,194.1,196.75,23766986,203.66,194.1,196.75,202.35,23766986,FB,XNAS,2019-12-12T00:00:00+0000
200.28,202.63,200.28,202.26,8041827,202.63,200.28,202.26,200.28,8041827,FB,XNAS,2019-12-11T00:00:00+0000
201.66,202.05,200.15,200.87,9485568,202.05,200.15,200.87,201.66,9485568,FB,XNAS,2019-12-10T00:00:00+0000
200.65,203.1418,200.21,201.34,12013218,203.1418,200.21,201.34,200.65,12013218,FB,XNAS,2019-12-09T00:00:00+0000
200.5,201.57,200.06,201.05,12279525,201.57,200.06,201.05,200.5,12279525,FB,XNAS,2019-12-06T00:00:00+0000
199.86,201.29,198.2126,199.36,9755350,201.29,198.2126,199.36,199.86,9755350,FB,XNAS,2019-12-05T00:00:00+0000
200,200.0288,198.05,198.71,8459939,200.0288,198.05,198.71,200,8459939,FB,XNAS,2019-12-04T00:00:00+0000
197.6,198.93,195.08,198.82,13014170,198.93,195.08,198.82,197.6,13014170,FB,XNAS,2019-12-03T00:00:00+0000
202.13,202.18,198.05,199.7,11542020,202.18,198.05,199.7,202.13,11542020,FB,XNAS,2019-12-02T00:00:00+0000
201.6,203.8,201.21,201.64,7985231,203.8,201.21,201.64,201.6,7985231,FB,XNAS,2019-11-29T00:00:00+0000
199.9,203.14,199.42,202,12760568,203.14,199.42,202,199.9,12760568,FB,XNAS,2019-11-27T00:00:00+0000
200,200.15,198.0387,198.97,11748664,200.15,198.0387,198.97,200,11748664,FB,XNAS,2019-11-26T00:00:00+0000
199.515,200.97,199.25,199.79,15286442,200.97,199.25,199.79,199.515,15286442,FB,XNAS,2019-11-25T00:00:00+0000
198.38,199.3,197.62,198.82,9959817,199.3,197.62,198.82,198.38,9959817,FB,XNAS,2019-11-22T00:00:00+0000
197.42,199.09,196.86,197.93,12130985,199.09,196.86,197.93,197.42,12130985,FB,XNAS,2019-11-21T00:00:00+0000
